aX,aY,aZ,gX,gY,gZ
-0.016,-0.612,0.754,6.653,-7.324,-6.531
-0.028,-0.634,0.794,5.493,-8.179,-4.333
-0.041,-0.629,0.828,4.578,-6.897,-1.465
-0.080,-0.620,0.823,2.625,-4.578,1.831
-0.114,-0.617,0.823,1.526,-3.540,3.113
-0.136,-0.619,0.832,2.441,-3.357,1.282
-0.135,-0.628,0.842,2.380,-3.174,-2.747
-0.115,-0.636,0.850,1.465,-2.686,-7.812
-0.083,-0.657,0.851,0.732,-2.380,-11.597
-0.059,-0.675,0.859,0.549,-2.319,-12.024
-0.050,-0.684,0.865,0.000,-1.465,-9.766
-0.043,-0.680,0.860,-1.648,0.732,-6.348
-0.054,-0.675,0.838,-4.395,2.441,-3.052
-0.057,-0.682,0.812,-8.667,3.357,-1.953
-0.040,-0.673,0.801,-12.756,2.930,-2.625
0.203,1.033,3.089,134.460,27.527,-22.339
0.297,1.422,3.663,170.898,60.059,2.441
0.302,1.764,4.000,200.806,106.812,37.781
0.169,2.015,4.000,207.947,154.236,71.106
-0.222,2.047,4.000,171.570,189.026,92.590
-0.704,1.820,4.000,64.819,204.468,90.210
-1.210,1.509,3.521,-101.868,191.101,55.969
-1.623,1.301,2.084,-287.354,156.189,2.258
-1.974,1.156,0.234,-434.937,99.121,-60.669
-2.232,0.910,-1.366,-498.535,-1.709,-137.695
-2.464,0.353,-2.588,-446.899,-124.817,-219.482
-2.825,-1.043,-3.504,-261.719,-182.007,-269.226
-3.011,-2.933,-3.853,23.743,-152.527,-271.729
-2.940,-4.000,-3.463,265.869,-111.816,-315.063
-2.271,-4.000,-2.547,331.726,-131.104,-430.603
-0.774,-4.000,-1.239,261.047,-188.171,-546.997
1.224,-4.000,0.018,213.135,-187.317,-545.349
3.535,-4.000,0.490,208.496,-80.322,-352.661
3.630,-4.000,0.069,140.625,44.312,-30.334
1.521,-4.000,-1.018,-0.427,119.080,298.706
-1.218,-3.869,-2.188,-120.667,140.503,508.423
-2.742,-2.159,-2.720,-184.875,109.009,528.137
-2.751,-1.451,-2.516,-168.640,12.268,389.587
-2.381,-1.596,-1.677,-121.216,-115.234,209.106
-2.017,-1.822,-0.836,-107.971,-187.561,92.407
-1.755,-1.763,-0.417,-113.586,-170.410,64.941
-1.488,-1.453,-0.242,-107.666,-114.807,90.820
-1.465,-0.851,0.083,-94.727,-83.679,137.695
-1.657,-0.164,0.515,-74.585,-67.688,185.852
-1.686,0.422,0.804,-48.340,-36.438,205.872
-1.579,0.788,1.025,-27.100,-14.099,186.035
-1.449,0.950,1.264,-16.357,-12.207,142.151
-1.288,0.991,1.471,-7.996,-5.188,98.267
-1.034,1.038,1.648,5.432,20.813,61.157
-0.649,1.001,1.742,22.522,49.805,34.058
-0.341,0.911,1.830,32.104,59.204,25.391
-0.094,0.922,1.977,28.687,51.697,34.668
0.034,1.075,2.082,15.625,42.664,50.476
0.088,1.270,2.045,2.563,41.443,69.458
0.092,1.410,1.955,-7.568,41.626,81.909
-0.024,1.547,1.931,-13.733,35.095,76.111
-0.182,1.617,1.813,-14.587,32.898,57.495
-0.326,1.525,1.601,-9.644,36.377,29.968
-0.365,1.270,1.422,-0.122,32.349,-12.634
-0.341,0.869,1.291,7.751,17.822,-65.002
-0.193,0.332,1.119,7.996,5.127,-112.061
0.057,-0.244,0.979,2.563,-5.371,-143.494
0.249,-0.751,0.875,-2.625,-16.113,-155.029
0.404,-1.124,0.770,-4.333,-13.428,-144.409
0.517,-1.339,0.636,2.441,-2.258,-113.281
0.535,-1.422,0.524,17.029,5.920,-69.397
0.425,-1.388,0.503,31.128,6.348,-30.090
0.281,-1.285,0.555,36.804,2.441,-9.644
0.136,-1.182,0.582,30.151,0.732,-1.099
0.118,-1.058,0.651,18.677,-4.883,-1.770
0.044,-0.952,0.712,11.169,-15.869,-1.282
-0.001,-0.837,0.771,9.949,-20.630,4.456
-0.078,-0.743,0.801,13.855,-20.508,15.381
-0.174,-0.693,0.818,18.433,-20.569,24.963
-0.233,-0.661,0.876,21.301,-21.606,28.015
-0.259,-0.632,0.958,20.142,-23.132,25.024
-0.267,-0.612,1.008,11.963,-21.912,20.447
-0.264,-0.572,1.029,-0.610,-18.799,15.320
-0.279,-0.512,1.001,-10.864,-15.137,10.742
-0.318,-0.512,0.924,-15.991,-12.939,9.033
-0.298,-0.527,0.878,-16.357,-10.315,6.897
-0.257,-0.536,0.856,-11.963,-8.057,3.967
-0.199,-0.546,0.853,-8.423,-6.714,2.319
-0.159,-0.544,0.840,-6.775,-5.432,1.709
-0.130,-0.550,0.818,-6.287,-4.028,2.747
-0.134,-0.573,0.785,-7.996,-3.845,4.639
-0.161,-0.574,0.760,-8.362,-3.418,5.676
-0.177,-0.563,0.737,-4.883,-0.854,5.615
-0.175,-0.586,0.724,-2.258,1.282,3.967
-0.143,-0.615,0.722,-1.709,0.793,1.099
-0.093,-0.608,0.734,-3.540,0.488,-1.587
-0.043,-0.572,0.728,-5.432,1.587,-1.343
-0.011,-0.537,0.713,-5.554,2.930,2.686
-0.023,-0.518,0.708,-3.967,1.221,8.911
-0.061,-0.517,0.729,-0.610,-1.770,15.137
-0.120,-0.498,0.772,4.272,-3.174,19.836
-0.178,-0.472,0.830,7.202,-3.662,20.752
-0.212,-0.436,0.895,7.019,-3.723,16.968
-0.244,-0.413,0.938,4.333,-2.869,10.315
-0.265,-0.409,0.941,0.305,-0.610,2.625
-0.254,-0.434,0.937,-2.502,0.244,-4.944
-0.212,-0.484,0.920,-4.456,0.488,-11.841
-0.187,-0.547,0.874,-6.775,1.099,-15.625
-0.166,-0.610,0.834,-7.996,1.587,-16.724
-0.135,-0.658,0.830,-7.751,1.404,-17.334
-0.092,-0.691,0.834,-9.888,1.709,-17.395
-0.063,-0.697,0.835,-13.489,2.808,-16.418
-0.049,-0.679,0.808,-16.602,4.272,-12.268
