aX,aY,aZ,gX,gY,gZ
-0.051,-0.758,0.948,-2.991,82.092,18.555
-0.083,-0.530,0.900,-6.836,60.974,11.536
-0.217,-0.473,0.825,1.465,43.945,0.427
-0.302,-0.435,0.799,9.888,38.086,-4.028
-0.168,-0.443,0.737,17.456,42.969,-12.695
-0.121,-0.487,0.702,25.452,51.941,-16.357
0.016,-0.546,0.721,31.738,63.232,-9.766
0.083,-0.592,0.709,32.288,65.186,-6.531
0.041,-0.640,0.720,30.762,63.049,1.099
0.002,-0.623,0.762,27.649,54.321,4.578
-0.028,-0.646,0.786,25.208,46.143,5.249
0.064,-0.660,0.795,19.409,41.199,5.249
-0.053,-0.590,0.828,19.165,31.311,3.845
-0.151,-0.700,0.854,19.714,26.123,1.892
-0.067,-0.708,0.857,15.381,26.367,-1.160
-0.106,-0.684,0.810,7.507,29.236,-2.380
-0.039,-0.672,0.804,1.282,27.527,-2.014
0.005,-0.662,0.772,-3.296,20.264,-1.465
0.020,-0.642,0.780,-6.836,11.963,-0.061
0.003,-0.626,0.795,-8.728,9.888,1.160
-0.001,-0.587,0.795,-8.301,13.916,3.479
-0.000,-0.569,0.796,-7.446,19.043,5.920
-0.008,-0.549,0.804,-7.751,22.583,8.118
0.037,-0.551,0.820,-8.911,23.926,10.193
-0.091,-0.523,0.817,-10.742,22.766,9.888
-0.101,-0.524,0.857,-10.620,29.480,10.986
-0.069,-0.506,0.839,-4.761,44.128,11.841
-0.069,-0.507,0.836,0.977,52.429,12.390
0.002,-0.528,0.831,0.916,50.903,13.550
0.034,-0.557,0.827,0.977,43.762,13.855
0.006,-0.571,0.837,3.540,37.354,13.184
0.025,-0.606,0.833,4.639,32.654,9.583
0.046,-0.613,0.804,1.404,29.785,7.141
0.030,-0.571,0.792,-2.930,27.222,7.751
0.067,-0.593,0.774,-8.606,25.391,9.216
-0.029,-0.530,0.790,-9.338,17.334,4.578
0.168,-0.614,0.754,-7.507,11.841,-1.648
0.097,-0.670,0.805,-5.615,5.676,4.639
0.120,-0.642,0.793,3.052,5.127,5.554
0.100,-0.567,0.834,5.798,2.197,10.132
0.233,-1.068,1.506,8.179,-71.594,-12.146
0.263,-1.176,1.657,-5.615,-88.318,-15.869
0.292,-1.272,1.932,-15.259,-101.501,-18.005
0.500,-1.304,2.379,-21.667,-107.239,-17.578
0.392,-1.607,2.530,-35.645,-94.666,-9.033
0.270,-1.758,2.653,-56.885,-59.570,8.057
0.335,-1.866,2.724,-68.848,-28.992,24.109
0.375,-1.983,2.795,-75.073,-12.085,33.020
0.333,-2.056,2.846,-83.923,-2.686,39.429
0.325,-2.098,2.795,-93.811,13.916,45.593
0.285,-2.068,2.611,-110.413,32.959,54.749
0.198,-2.001,2.421,-135.803,43.640,66.223
0.093,-1.908,2.198,-157.288,53.406,75.928
-0.006,-1.856,1.933,-166.321,70.374,83.008
-0.063,-1.762,1.706,-161.987,85.571,90.393
-0.001,-1.564,1.620,-152.222,95.764,97.534
-0.037,-1.518,1.458,-148.743,109.802,103.271
-0.152,-1.539,1.240,-152.649,128.906,110.229
-0.169,-1.505,1.050,-151.184,146.667,117.615
-0.206,-1.475,0.855,-140.564,166.077,128.052
-0.268,-1.395,0.648,-127.625,187.073,141.418
-0.356,-1.256,0.410,-116.638,206.055,152.344
-0.382,-1.075,0.185,-109.192,220.764,159.668
-0.372,-0.897,-0.066,-107.910,221.252,167.908
-0.362,-0.686,-0.265,-117.432,200.562,173.584
-0.378,-0.490,-0.366,-136.963,165.527,172.729
-0.390,-0.312,-0.446,-162.903,127.563,166.931
-0.420,-0.131,-0.514,-186.340,93.567,158.569
-0.459,0.044,-0.576,-194.458,69.824,153.198
-0.484,0.203,-0.667,-182.312,57.373,150.208
-0.539,0.345,-0.812,-157.471,52.856,147.766
-0.661,0.495,-0.979,-130.981,51.025,140.869
-0.732,0.638,-1.121,-106.995,49.988,123.413
-0.651,0.709,-1.258,-88.196,46.021,92.590
-0.524,0.697,-1.346,-75.256,27.283,57.007
-0.392,0.613,-1.364,-65.735,-1.404,26.123
-0.252,0.500,-1.315,-55.786,-29.114,2.625
-0.166,0.386,-1.246,-45.471,-51.270,-9.949
-0.125,0.308,-1.192,-34.851,-64.941,-11.963
-0.128,0.316,-1.141,-22.522,-71.594,-7.385
-0.158,0.382,-1.100,-11.108,-76.233,-0.977
-0.190,0.469,-1.041,-3.540,-84.290,3.723
-0.232,0.552,-0.934,0.610,-96.191,4.272
-0.255,0.627,-0.825,3.357,-106.323,0.427
-0.276,0.700,-0.713,8.545,-114.014,-3.784
-0.303,0.752,-0.583,17.212,-122.070,-8.240
-0.352,0.793,-0.470,25.757,-129.944,-13.550
-0.408,0.784,-0.343,33.630,-137.756,-20.264
-0.443,0.731,-0.213,42.297,-144.470,-30.151
-0.425,0.619,-0.115,50.842,-147.339,-44.556
-0.353,0.457,-0.047,58.777,-145.691,-59.082
-0.288,0.294,-0.018,68.726,-140.747,-68.848
-0.229,0.129,0.031,80.566,-135.498,-75.562
-0.155,-0.039,0.130,90.637,-132.996,-81.543
-0.106,-0.202,0.237,94.910,-132.080,-83.801
-0.042,-0.316,0.340,96.191,-129.150,-80.750
-0.026,-0.396,0.417,99.365,-126.038,-70.190
-0.023,-0.468,0.504,105.225,-116.760,-57.556
-0.062,-0.522,0.595,112.061,-103.271,-47.607
-0.103,-0.570,0.656,117.432,-89.783,-41.260
-0.110,-0.599,0.643,117.859,-78.125,-39.490
-0.061,-0.635,0.604,114.380,-71.533,-41.870
-0.023,-0.658,0.584,112.793,-72.388,-45.105
-0.010,-0.724,0.588,116.333,-75.684,-47.546
-0.027,-0.821,0.606,121.521,-77.515,-48.035
-0.024,-0.885,0.654,123.962,-76.416,-44.922
-0.016,-0.935,0.725,122.620,-72.876,-40.344
-0.152,-0.877,0.828,121.216,-65.247,-37.964
-0.375,-0.944,0.776,123.718,-54.565,-37.109
-0.169,-0.644,0.790,123.535,-36.926,-50.659
-0.385,-0.458,0.758,140.625,-21.667,-57.983
-0.202,-0.452,0.798,161.560,-10.437,-60.852
